pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Quem distribui as tiras reagentes de glicemia capilar?,False,False,False,True,O Estado.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Distribuição de tiras
"Quem fornece lancetas, agulhas e seringas?",False,False,False,True,Os municípios.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Fornecimento de insumos
Desde quando o Programa de Análogos de Insulina da SESA-PR existe?,False,False,False,True,Desde outubro de 2006.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Data de implantação
Que uso prévio de insulina é exigido para solicitar Glargina/Detemir?,False,True,False,False,Ter usado ou usar NPH e Regular (ou pré-misturada).,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Uso prévio requerido
Quantos exames de glicemia em jejum são exigidos no cadastro?,False,False,True,False,"Mínimo 2, feitos nos últimos 12 meses; intervalo ≤ 6 meses; último ≤ 60 dias.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Exames de jejum
Qual valor de glicemia pós-prandial define critério de inclusão?,False,False,True,False,> 180 mg/dL (2 h).,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Glicemia pós-prandial > 180
Que quadros de hipoglicemia podem justificar inclusão?,False,False,True,False,Hipoglicemia grave; leve/moderada frequente; noturna frequente; perda de percepção.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Quadros de hipoglicemia
Quem emite o parecer quando o processo é indeferido?,False,False,False,True,A Auditoria Médica do CEMEPAR.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Parecer de indeferimento
Qual vantagem do Lispro/Aspart sobre a insulina regular?,False,True,True,False,Reduzem hiperglicemias pós-prandiais e hipoglicemias tardias.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Benefícios do Lispro/Aspart
Com que frequência se aplica a insulina Detemir?,False,True,False,False,Uma a duas vezes ao dia.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Frequência da Detemir
Por que a Glargina diminui o risco de hipoglicemia?,False,True,True,False,"Liberação constante, sem pico de ação.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Perfil da Glargina
Acima de que dose diária o caso vai para Auditoria Médica?,False,True,False,False,> 80 UI/dia de análogo de longa duração.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Dose elevada
Que critério de A1c leva à suspensão após 12 meses?,False,False,True,False,Não redução de pelo menos 50 % da hemoglobina glicada excedente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Critério de suspensão
Quais documentos pessoais são obrigatórios?,False,False,False,True,"RG, CPF, Cartão SUS e comprovante de residência.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Documentos pessoais
"Além do LME, qual formulário deve ser preenchido?",False,False,False,True,Solicitação de Análogos de Insulina (SAI).,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Formulário SAI
Qual intervalo máximo entre dois exames de glicemia em jejum aceitos?,False,False,True,False,6 meses.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Intervalo máximo
Que tecnologia produz Glargina e Detemir?,False,True,False,False,DNA-recombinante.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Produção por DNA-recombinante
